complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel,complaint_id_raw,txn_id_raw,user_id_raw,merchant_id_raw,disputed_amount_negative_flag,disputed_amount_missing_flag,txn_id_missing_flag,transaction_timestamp_missing_flag,reported_timestamp_missing_flag,bank_response_timestamp_missing_flag,critical_flag,high_flag
CBK0002082,TXN00004325,USR97580,MCH1127,2026-01-28 00:00:00,2026-01-02 00:00:00,,Merchant Not Delivered,Customer says amount was debited twice.,CLOSED,2026-02-10 03:19:10,CRITICAL,ivr,CBK0002082,TXN00004325,usr97580,mch1127,0,1,0,0,0,0,1,0
CBK0001941,TXN00003720,USR54113,3835,2026-02-25 10:24:00,2026-03-05 06:24:15,414.69,login compromised,User reports money deducted but merchant denies receiving payment.,In Progress,2026-03-12 06:24:00,HIGH,Call Center,CBK0001941,TXN00003720,USR54113,3835,0,0,0,0,0,0,0,1
CBK0001799,TXN00012539,USR17980,MCH3700,2026-02-04 00:00:00,2026-05-02 00:00:00,0.7039,customer issue,merchant service was not delivered after payment.,OPEN,2026-03-06 00:00:00,LOW,IVR,CBK0001799,TXN00012539,USR17980,mch3700,0,0,0,0,0,0,0,0
CBK0002465,TXN00017802,USR76148,MCH4534,2026-03-30 00:00:00,2026-04-01 00:00:00,1303.05,no service,Suspicious high-value payment disputed by customer. pls check asap,Rejected,2026-04-07 00:00:00,HIGH,ivr,CBK0002465,TXN00017802,USR76148,MCH4534,0,0,0,0,0,0,0,1
CBK0001870,TXN00015944,USR24660,MCH1686,2026-01-09 00:00:00,2026-01-14 21:01:41,1459.42,merchant service issue,Merchant service was not delivered after payment.,In Progress,2026-01-26 00:00:00,LOW,App,CBK0001870,TXN00015944,USR24660,MCH1686,0,0,0,0,0,0,0,0
CBK0002663,TXN00009741,USR40631,MCH9584,2026-05-02 00:00:00,2026-06-02 00:00:00,0.548,service failed,Complaint received after multiple failed attempts. urgent,Closed,2026-02-23 00:00:00,LOW,Branch,CBK0002663,TXN00009741,USR40631,MCH9584,0,0,0,0,0,0,0,0
CBK0000782,TXN00015086,USR58789,MCH6008,2026-02-05 00:00:00,2026-10-02 00:00:00,1949.6,extra amount deducted,User says UPI PIN was not entered by them.,In Progress,2026-03-03 00:00:00,MEDIUM,chatbot,CBK0000782,TXN00015086,USR58789,MCH6008,0,0,0,0,0,0,0,0
CBK0001838,TXN00014426,USR30157,MCH4526,2026-03-26 10:17:08,2026-04-06 04:17:08,4193.52,Service Not Provided,Merchant service was not delivered after payment. details missing,OPEN,2026-04-18 00:00:00,MEDIUM,CHATBOT,CBK0001838,TXN00014426,usr30157,MCH-4526,0,0,0,0,0,0,0,0
CBK0001095,TXN00015316,86750,MCH5980,2026-01-12 00:00:00,2026-01-13 00:00:00,930.83,dispute raised,Customer complaint text unclear due to poor call center notes.,Open,2026-01-14 00:00:00,HIGH,Branch,CBK0001095,TXN00015316,86750,MCH5980,0,0,0,0,0,0,0,1
CBK0002541,TXN00002822,USR11987,MCH3992,2026-03-18 10:04:06,2026-03-23 00:00:00,,UNAUTHORISED,User claims account was compromised before transaction.,OPEN,2026-03-30 00:00:00,HIGH,ivr,CBK0002541,TXN00002822,USR11987,MCH3992,0,1,0,0,0,0,0,1
