component_id,node_count,user_count,merchant_count,edge_count,density
1,8,6,2,7,0.583333
2,35,25,10,34,0.136
3,11,7,4,10,0.357143
4,8,6,2,7,0.583333
5,5,4,1,4,1.0
6,5,4,1,4,1.0
7,3,2,1,2,1.0
8,30,20,10,29,0.145
9,3,2,1,2,1.0
10,15,11,4,14,0.318182
11,3,2,1,2,1.0
12,2,1,1,1,1.0
13,2,1,1,1,1.0
14,4,3,1,3,1.0
15,9,7,2,8,0.571429
16,6,5,1,5,1.0
17,2,1,1,1,1.0
18,7,5,2,6,0.6
19,6,5,1,5,1.0
20,2,1,1,1,1.0
21,12,8,4,11,0.34375
22,11,8,3,10,0.416667
23,3,2,1,2,1.0
24,2,1,1,1,1.0
25,6,5,1,5,1.0
26,5,4,1,4,1.0
27,25,18,7,24,0.190476
28,6,5,1,5,1.0
29,4,3,1,3,1.0
30,9,6,3,8,0.444444
31,3,2,1,2,1.0
32,4,3,1,3,1.0
33,9,6,3,8,0.444444
34,3,2,1,2,1.0
35,6,4,2,5,0.625
36,10,6,4,9,0.375
37,28,21,7,27,0.183673
38,6,5,1,5,1.0
39,8,6,2,7,0.583333
40,9,7,2,8,0.571429
41,7,5,2,6,0.6
42,13,9,4,12,0.333333
43,4,2,2,3,0.75
44,7,5,2,6,0.6
45,8,7,1,7,1.0
46,6,5,1,5,1.0
47,5,4,1,4,1.0
48,4,3,1,3,1.0
49,17,13,4,16,0.307692
50,5,4,1,4,1.0
51,6,4,2,5,0.625
52,11,7,4,10,0.357143
53,7,5,2,6,0.6
54,3,2,1,2,1.0
55,17,12,5,16,0.266667
56,6,4,2,5,0.625
57,7,5,2,6,0.6
58,15,10,5,14,0.28
59,23,18,5,22,0.244444
60,6,5,1,5,1.0
61,11,9,2,10,0.555556
62,5,4,1,4,1.0
63,4,3,1,3,1.0
64,18,13,5,17,0.261538
65,6,5,1,5,1.0
66,3,2,1,2,1.0
67,8,6,2,7,0.583333
68,3,2,1,2,1.0
69,3,2,1,2,1.0
70,14,10,4,13,0.325
71,5,3,2,4,0.666667
72,5,4,1,4,1.0
73,3,2,1,2,1.0
74,8,6,2,7,0.583333
75,3,2,1,2,1.0
76,10,7,3,9,0.428571
77,15,12,3,14,0.388889
78,27,20,7,26,0.185714
79,5,3,2,4,0.666667
80,31,24,7,30,0.178571
81,3,2,1,2,1.0
82,3,2,1,2,1.0
83,2,1,1,1,1.0
84,11,8,3,10,0.416667
85,4,3,1,3,1.0
86,6,5,1,5,1.0
87,5,3,2,4,0.666667
88,12,10,2,11,0.55
89,4,3,1,3,1.0
90,7,5,2,6,0.6
91,35,24,11,34,0.128788
92,11,8,3,10,0.416667
93,10,7,3,9,0.428571
94,16,13,3,15,0.384615
95,18,13,5,17,0.261538
96,3,2,1,2,1.0
97,4,3,1,3,1.0
98,7,6,1,6,1.0
99,8,5,3,7,0.466667
100,12,10,2,11,0.55
101,5,4,1,4,1.0
102,27,20,7,26,0.185714
103,5,4,1,4,1.0
104,10,8,2,9,0.5625
105,17,13,4,16,0.307692
106,3,2,1,2,1.0
107,4,3,1,3,1.0
108,3,2,1,2,1.0
109,3,2,1,2,1.0
110,3,2,1,2,1.0
111,8,6,2,7,0.583333
112,3,2,1,2,1.0
113,3,2,1,2,1.0
114,6,4,2,5,0.625
115,9,7,2,8,0.571429
116,4,3,1,3,1.0
117,5,3,2,4,0.666667
118,11,8,3,10,0.416667
119,2,1,1,1,1.0
120,2,1,1,1,1.0
121,2,1,1,1,1.0
122,5,4,1,4,1.0
123,3,2,1,2,1.0
124,8,6,2,7,0.583333
125,10,7,3,9,0.428571
126,6,4,2,5,0.625
127,15,10,5,14,0.28
