user_id,merchant_id,transaction_count,total_amount,avg_amount,max_amount,chargeback_count,failed_count,failure_rate,chargeback_rate,user_risk_score,merchant_risk_score,transaction_intensity,amount_intensity,chargeback_intensity,failure_intensity,relationship_risk_score,relationship_risk_band
USR10001,MCH7754,1,0.172078,0.172078,0.172078,0,1,1.0,0.0,28.57,27.11,0.500025,0.0342,0.0,1.0,33.37,MEDIUM
USR10006,MCH5742,1,8445.34,8445.34,8445.34,0,0,0.0,0.0,41.13,16.66,0.500025,0.40185,0.0,0.0,23.59,LOW
USR10007,MCH2501,1,0.1407513,0.1407513,0.1407513,0,0,0.0,0.0,15.96,7.63,0.500025,0.0201,0.0,0.0,13.12,LOW
USR10007,MCH8176,1,12698.2,12698.2,12698.2,0,0,0.0,0.0,15.96,8.3,0.500025,0.5585,0.0,0.0,21.31,LOW
USR10011,MCH6493,1,8691.46,8691.46,8691.46,0,0,0.0,0.0,31.2,6.41,0.500025,0.41135,0.0,0.0,20.67,LOW
USR10012,MCH9499,1,11874.48,11874.48,11874.48,0,0,0.0,0.0,32.03,9.17,0.500025,0.5286,0.0,0.0,23.02,LOW
USR10017,MCH3949,1,0.1640216,0.1640216,0.1640216,0,0,0.0,0.0,28.54,8.26,0.500025,0.03085,0.0,0.0,14.96,LOW
USR10027,MCH7654,1,18054.43,18054.43,18054.43,0,0,0.0,0.0,13.66,25.47,0.500025,0.7513,0.0,0.0,26.98,MEDIUM
USR10032,MCH3474,1,24876.37,24876.37,24876.37,0,1,1.0,0.0,55.48,13.81,0.500025,0.9952,0.0,1.0,48.77,MEDIUM
USR10035,MCH7111,1,0.1361091,0.1361091,0.1361091,0,0,0.0,0.0,28.46,2.17,0.500025,0.01775,0.0,0.0,13.66,LOW
USR10044,MCH1264,1,9096.65,9096.65,9096.65,0,0,0.0,0.0,31.31,12.52,0.500025,0.4267,0.0,0.0,22.0,LOW
USR10046,MCH2198,1,1094.88,1094.88,1094.88,0,0,0.0,0.0,29.29,2.38,0.500025,0.1394,0.0,0.0,15.63,LOW
USR10055,MCH4138,1,13414.9,13414.9,13414.9,0,0,0.0,0.0,32.42,1.96,0.500025,0.58355,0.0,0.0,22.61,LOW
USR10060,MCH9608,1,3756.23,3756.23,3756.23,0,1,1.0,0.0,49.97,21.08,0.500025,0.2361,0.0,1.0,37.99,MEDIUM
USR10061,MCH7854,1,5690.29,5690.29,5690.29,0,0,0.0,0.0,30.44,5.41,0.500025,0.30445,0.0,0.0,18.79,LOW
USR10064,MCH5224,1,6814.96,6814.96,6814.96,0,0,0.0,0.0,20.74,8.16,0.500025,0.345,0.0,0.0,18.68,LOW
USR10069,MCH7948,1,7005.63,7005.63,7005.63,0,0,0.0,0.0,5.79,11.68,0.500025,0.35155,0.0,0.0,17.54,LOW
USR10071,MCH1139,1,14301.02,14301.02,14301.02,1,0,0.0,1.0,42.66,12.07,0.500025,0.6158,1.0,0.0,56.17,HIGH
USR10074,MCH6217,1,8987.19,8987.19,8987.19,0,1,1.0,0.0,49.41,11.96,0.500025,0.4223,0.0,1.0,39.09,MEDIUM
USR10074,MCH7343,1,24683.53,24683.53,24683.53,0,0,0.0,0.0,49.41,11.75,0.500025,0.9885,0.0,0.0,32.54,MEDIUM
USR10075,MCH1278,1,6711.68,6711.68,6711.68,0,0,0.0,0.0,30.7,12.9,0.500025,0.34065,0.0,0.0,20.7,LOW
USR10078,MCH9972,1,13714.99,13714.99,13714.99,0,0,0.0,0.0,22.51,2.0,0.500025,0.5956,0.0,0.0,21.56,LOW
USR10082,MCH3237,1,22723.1,22723.1,22723.1,0,0,0.0,0.0,34.9,15.05,0.500025,0.9174,0.0,0.0,30.26,MEDIUM
USR10085,MCH8082,1,9473.8,9473.8,9473.8,0,0,0.0,0.0,16.87,15.4,0.500025,0.43995,0.0,0.0,20.91,LOW
USR10085,MCH9212,1,6766.88,6766.88,6766.88,0,0,0.0,0.0,16.87,12.76,0.500025,0.3429,0.0,0.0,18.99,LOW
USR10086,MCH2137,1,12874.26,12874.26,12874.26,1,0,0.0,1.0,22.29,16.71,0.500025,0.56535,1.0,0.0,53.7,HIGH
USR10088,MCH6132,1,3809.97,3809.97,3809.97,1,0,0.0,1.0,4.98,1.09,0.500025,0.23795,1.0,0.0,43.85,MEDIUM
USR10094,MCH1173,1,8987.24,8987.24,8987.24,0,0,0.0,0.0,31.28,9.44,0.500025,0.42235,0.0,0.0,21.38,LOW
USR10100,MCH2458,1,20357.0,20357.0,20357.0,0,0,0.0,0.0,34.27,8.68,0.500025,0.8336,0.0,0.0,27.79,MEDIUM
USR10104,MCH4652,1,18458.04,18458.04,18458.04,0,0,0.0,0.0,33.77,11.71,0.500025,0.76575,0.0,0.0,27.25,MEDIUM
USR10107,MCH2424,1,22698.19,22698.19,22698.19,0,1,1.0,0.0,54.89,13.69,0.500025,0.91625,0.0,1.0,47.49,MEDIUM
USR10110,MCH5014,1,13924.46,13924.46,13924.46,0,0,0.0,0.0,32.56,6.16,0.500025,0.6028,0.0,0.0,23.66,LOW
USR10111,MCH5125,1,18111.68,18111.68,18111.68,0,0,0.0,0.0,33.68,6.83,0.500025,0.7537,0.0,0.0,26.18,MEDIUM
USR10119,MCH2039,1,0.58609,0.58609,0.58609,0,0,0.0,0.0,28.89,13.99,0.500025,0.08225,0.0,0.0,16.79,LOW
USR10125,MCH1210,1,10766.24,10766.24,10766.24,0,0,0.0,0.0,31.74,24.47,0.500025,0.48805,0.0,0.0,25.1,MEDIUM
USR10128,MCH1174,1,14669.18,14669.18,14669.18,0,1,1.0,0.0,48.57,18.52,0.500025,0.62905,0.0,1.0,43.26,MEDIUM
USR10128,MCH9275,1,17945.13,17945.13,17945.13,0,0,0.0,0.0,48.57,9.66,0.500025,0.7471,0.0,0.0,28.45,MEDIUM
USR10134,MCH2185,1,1750.45,1750.45,1750.45,0,0,0.0,0.0,29.45,4.2,0.500025,0.16345,0.0,0.0,16.33,LOW
USR10142,MCH3620,1,23295.4,23295.4,23295.4,0,0,0.0,0.0,35.04,14.41,0.500025,0.93665,0.0,0.0,30.45,MEDIUM
USR10143,MCH3727,1,7545.58,7545.58,7545.58,0,0,0.0,0.0,11.5,25.33,0.500025,0.36995,0.0,0.0,20.97,LOW
USR10143,MCH6078,1,7244.55,7244.55,7244.55,0,0,0.0,0.0,11.5,5.14,0.500025,0.36,0.0,0.0,17.21,LOW
USR10147,MCH3275,1,12485.3,12485.3,12485.3,0,1,1.0,0.0,52.18,23.35,0.500025,0.5499,0.0,1.0,43.38,MEDIUM
USR10156,MCH1421,1,4524.57,4524.57,4524.57,0,0,0.0,0.0,30.15,13.1,0.500025,0.2628,0.0,0.0,19.5,LOW
USR10159,MCH2522,1,3524.93,3524.93,3524.93,0,0,0.0,0.0,29.91,14.24,0.500025,0.2281,0.0,0.0,19.15,LOW
USR10160,MCH5990,1,13850.23,13850.23,13850.23,0,0,0.0,0.0,42.54,18.53,0.500025,0.60045,0.0,0.0,27.08,MEDIUM
USR10162,MCH8198,1,22520.0,22520.0,22520.0,0,1,1.0,0.0,54.85,15.83,0.500025,0.91045,0.0,1.0,47.78,MEDIUM
USR10168,MCH9950,1,12265.35,12265.35,12265.35,0,0,0.0,0.0,22.13,6.71,0.500025,0.54195,0.0,0.0,21.55,LOW
USR10186,MCH8364,1,10108.71,10108.71,10108.71,0,0,0.0,0.0,31.56,3.39,0.500025,0.4629,0.0,0.0,20.94,LOW
