priority_rank,entity_type,entity_id,risk_score,risk_band,reasons
1,USER,USR63286,60.5,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
2,USER,USR66411,59.2,HIGH,HIGH_BEHAVIORAL_RISK|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
3,USER,USR20984,58.65,HIGH,HIGH_BEHAVIORAL_RISK|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
4,USER,USR21946,57.29,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
5,USER,USR56014,55.61,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
6,USER,USR21921,55.34,HIGH,HIGH_BEHAVIORAL_RISK|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
7,USER,USR32787,54.72,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
8,USER,USR45251,54.24,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
9,USER,USR54208,53.54,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
10,USER,USR39542,53.37,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
11,USER,USR81352,53.27,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
12,USER,USR71905,53.2,HIGH,HIGH_BEHAVIORAL_RISK|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
13,USER,USR64720,53.16,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
14,USER,USR60585,53.1,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
15,USER,USR50308,53.09,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
16,USER,USR99647,53.04,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
17,USER,USR28919,52.98,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
18,USER,USR74798,52.95,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
19,USER,USR39494,52.95,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
20,USER,USR60818,52.94,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
21,USER,USR96495,52.94,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
22,USER,USR94935,52.9,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
23,USER,USR34667,52.86,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
24,USER,USR21014,52.83,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
25,USER,USR93454,52.79,HIGH,HIGH_BEHAVIORAL_RISK|HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
26,USER,USR79756,52.79,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
27,USER,USR72970,52.71,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
28,USER,USR80837,52.65,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
29,USER,USR62989,52.58,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
30,USER,USR59914,52.5,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
31,USER,USR42244,52.48,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
32,USER,USR19141,52.42,HIGH,HIGH_BEHAVIORAL_RISK|SUSPICIOUS_NETWORK_COMPONENT
33,USER,USR31591,52.42,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
34,USER,USR51274,52.32,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
35,USER,USR45353,52.27,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
36,USER,USR89726,52.23,HIGH,SUSPICIOUS_NETWORK_COMPONENT
37,USER,USR88063,52.17,HIGH,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
38,USER,USR86871,52.12,HIGH,SUSPICIOUS_NETWORK_COMPONENT
