merchant_id,txn_count,total_transaction_value,avg_transaction_value,unique_users,unique_mcc,failed_txn_count,pending_txn_count,negative_amount_count,failure_rate,pending_rate,negative_amount_rate,chargeback_count,chargeback_amount,critical_chargeback_count,high_chargeback_count,chargeback_rate,merchant_name,merchant_category,business_type,merchant_city,merchant_state,merchant_status,declared_avg_ticket_size,master_mcc,merchant_match_flag,suspended_flag,blocked_flag,ticket_deviation,ticket_deviation_abs
MCH1000,1,1946.18,1946.18,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0,,
MCH1001,4,49974.0,12493.5,4,4,1,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anand-Kothari,kirana,Partnership,pune,Maharashtra,ACTIVE,332.55,,1,0,0,36.56878664862427,36.56878664862427
MCH1003,2,17294.90571,8647.452855,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Nayar, Batta and Barad",Fashion,Private Limited,chennai,Tamil Nadu,ACTIVE,792.91,5699.0,1,0,0,9.905970229912601,9.905970229912601
MCH1004,2,9870.740000000002,4935.370000000001,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pillai-Mohan,TRAVEL,SOLE-PROPRIETOR,LKO,Uttar Pradesh,ACTIVE,342.7,4131.0,1,0,0,13.401429822001754,13.401429822001754
MCH1005,2,14599.21,7299.605,2,1,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAGAR AND SONS,MEDICAL_STORE,PARTNERSHIP,Ludhiana,Punjab,ACTIVE,967.53,9120.0,1,0,0,6.5445774291236445,6.5445774291236445
MCH1006,2,5701.016387,2850.5081935,2,1,0,0,0,0.0,0.0,0.0,1.0,12194.3,0.0,0.0,0.5,,,,,,,,,0,0,0,,
MCH1007,3,8735.779999999999,2911.9266666666663,3,1,0,0,1,0.0,0.0,0.3333333333333333,1.0,2326.89,0.0,0.0,0.3333333333333333,Jain-Wadhwa,HOTEL_LODGING,Private Limited,chennai,Tamil Nadu,INACTIVE,-927.51,7011.0,1,0,0,,
MCH1008,3,8913.653847000001,2971.2179490000003,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0,,
MCH1009,2,10824.1211357,5412.06056785,2,1,0,1,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Bha11a-Dave,Bus/Taxi,INDIVIDUAL,mumbai,Maharashtra,ACTIVE,0.1496,,1,0,0,36175.87545354278,36175.87545354278
MCH1011,4,41529.21,10382.3025,4,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wable and Sons,groceries,PRIVATE_LIMITED,Ludhiana,Punjab,ACTIVE,6536.07,4110.0,1,0,0,0.5884625623654581,0.5884625623654581
