merchant_id,txn_count,total_transaction_value,avg_transaction_value,unique_users,unique_mcc,failed_txn_count,pending_txn_count,negative_amount_count,failure_rate,pending_rate,negative_amount_rate,chargeback_count,chargeback_amount,critical_chargeback_count,high_chargeback_count,chargeback_rate,merchant_name,merchant_category,business_type,merchant_city,merchant_state,merchant_status,declared_avg_ticket_size,master_mcc,merchant_match_flag,suspended_flag,blocked_flag,ticket_deviation,ticket_deviation_abs,txn_count_percentile,user_count_percentile,transaction_value_percentile,high_failure_flag,high_pending_flag,negative_transaction_flag,high_chargeback_flag,critical_chargeback_flag,inactive_flag,ticket_deviation_risk,user_to_txn_ratio,high_user_concentration_flag,merchant_risk_score,risk_band,ml_anomaly_prediction,ml_decision_score,ml_anomaly_percentile,ml_anomaly_flag,ml_anomaly_band,network_user_count,network_transaction_count,network_total_amount,network_chargeback_count,avg_relationship_risk,max_relationship_risk,network_chargeback_rate,degree,component_id,network_activity_score,suspicious_component_flag,unified_merchant_risk_score,unified_merchant_risk_band,investigation_reasons
MCH1000,1,1946.18,1946.18,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.133461681778661,0.133461681778661,0.0540305552105328,0,0,0,0,0,0,0.0,1.0,0,0.94,LOW,1,0.25532,56.38,0,LOW,1,1,1946.18,0,13.39,13.39,0.0,1,676,23.56,0,15.49,LOW,NO_MAJOR_SIGNAL
MCH1001,4,49974.0,12493.5,4,4,1,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anand-Kothari,kirana,Partnership,pune,Maharashtra,ACTIVE,332.55,,1,0,0,36.56878664862427,36.56878664862427,0.8575332256862501,0.8575332256862501,0.8806359458452366,1,0,0,0,0,0,0.0001707562246125,1.0,0,13.69,LOW,1,0.205546,42.52,0,LOW,4,4,49974.0,0,28.525,43.54,0.0,4,2994,95.71,1,33.46,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1003,2,17294.90571,8647.452855,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Nayar, Batta and Barad",Fashion,Private Limited,chennai,Tamil Nadu,ACTIVE,792.91,5699.0,1,0,0,9.9059702299126,9.9059702299126,0.4191404794435474,0.4191404794435474,0.3485281331511613,0,0,0,0,0,0,4.625546080697724e-05,1.0,0,3.84,LOW,1,0.266954,69.08,0,LOW,2,2,17294.90571,0,20.485,25.88,0.0,2,1968,67.39,1,29.72,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1004,2,9870.740000000002,4935.370000000001,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pillai-Mohan,TRAVEL,SOLE-PROPRIETOR,LKO,Uttar Pradesh,ACTIVE,342.7,4131.0,1,0,0,13.401429822001754,13.401429822001754,0.4191404794435474,0.4191404794435474,0.1884237982859272,0,0,0,0,0,0,6.257734452070199e-05,1.0,0,3.04,LOW,1,0.265144,66.64,0,LOW,2,2,9870.740000000002,0,16.119999999999997,18.74,0.0,2,2143,56.07,1,27.22,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
MCH1005,2,14599.21,7299.605,2,1,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAGAR AND SONS,MEDICAL_STORE,PARTNERSHIP,Ludhiana,Punjab,ACTIVE,967.53,9120.0,1,0,0,6.5445774291236445,6.5445774291236445,0.4191404794435474,0.4191404794435474,0.2876661284312508,1,0,0,0,0,0,3.055959565242178e-05,1.0,0,13.53,LOW,1,0.180272,31.7,0,LOW,2,2,14599.21,0,26.775000000000002,36.38,0.0,2,82,63.19,0,22.78,LOW,NO_MAJOR_SIGNAL
MCH1006,2,5701.016387,2850.5081935,2,1,0,0,0,0.0,0.0,0.0,1.0,12194.3,0.0,0.0,0.5,,,,,,,0.0,,0,0,0,0.0,0.0,0.4191404794435474,0.4191404794435474,0.1145199354117501,0,0,0,1,0,0,0.0,1.0,0,15.17,LOW,1,0.177428,30.42,0,LOW,2,2,5701.016387,0,18.86,20.54,0.0,2,2533,50.18,0,21.33,LOW,NO_MAJOR_SIGNAL
MCH1007,3,8735.779999999999,2911.9266666666663,3,1,0,0,1,0.0,0.0,0.3333333333333333,1.0,2326.89,0.0,0.0,0.3333333333333333,Jain-Wadhwa,HOTEL_LODGING,Private Limited,chennai,Tamil Nadu,INACTIVE,-927.51,7011.0,1,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.1664389516830207,0,0,1,1,0,1,0.0,1.0,0,15.92,LOW,1,0.055941,6.72,0,LOW,3,3,44405.6,1,36.303333333333335,60.69,0.3333333333333333,3,3770,91.88,1,27.92,MEDIUM,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1008,3,8913.653847000001,2971.2179490000003,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0,0,0,0.0,0.0,0.684076512234505,0.684076512234505,0.1700409886970562,0,0,0,0,0,0,0.0,1.0,0,4.27,LOW,1,0.269242,73.84,0,LOW,3,3,8913.653847000001,1,24.95,45.99,0.3333333333333333,3,1209,60.68,1,30.68,MEDIUM,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
MCH1009,2,10824.1211357,5412.06056785,2,1,0,1,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Bha11a-Dave,Bus/Taxi,INDIVIDUAL,mumbai,Maharashtra,ACTIVE,0.1496,,1,0,0,36175.87545354278,36175.87545354278,0.4191404794435474,0.4191404794435474,0.2068066078747981,0,1,0,0,0,0,0.1689215443174415,1.0,0,10.66,LOW,1,0.062173,7.45,0,LOW,2,2,10824.1211357,0,19.845,22.68,0.0,2,4798,57.5,0,15.09,LOW,NO_MAJOR_SIGNAL
MCH1011,4,41529.21,10382.3025,4,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wable and Sons,groceries,PRIVATE_LIMITED,Ludhiana,Punjab,ACTIVE,6536.07,4110.0,1,0,0,0.5884625623654581,0.5884625623654581,0.8575332256862501,0.8575332256862501,0.7962985964476462,0,0,0,0,0,0,2.747798182117998e-06,1.0,0,8.27,LOW,1,0.271726,85.51,0,MEDIUM,4,4,41529.21,1,29.955000000000002,47.52,0.25,4,1155,94.1,1,39.06,MEDIUM,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
