component_id,user_count,merchant_count,edge_count,total_transactions,total_amount,total_chargebacks,chargeback_rate,network_density,max_shared_users_per_merchant,shared_merchant_count,avg_relationship_risk,max_relationship_risk,network_risk_score,risk_band,signals
1013,7,1,7,7,91459.25,2,0.2857,1.0,7,1,35.06,48.19,74.02,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1901,7,1,7,7,79678.3,2,0.2857,1.0,7,1,31.03,57.3,73.21,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
750,6,1,6,6,58942.31,2,0.3333,1.0,6,1,34.79,76.69,71.17,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1303,6,1,6,6,89963.06,2,0.3333,1.0,6,1,33.72,59.52,70.96,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
216,6,1,6,6,38410.06,2,0.3333,1.0,6,1,32.81,60.97,70.78,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
46,5,1,5,5,55752.05,2,0.4,1.0,5,1,46.1,73.02,70.6,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1109,5,1,5,5,67000.56,2,0.4,1.0,5,1,45.62,73.2,70.51,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
4296,6,1,6,6,41561.19,2,0.3333,1.0,6,1,30.53,55.54,70.32,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3544,5,1,5,5,41006.69,3,0.6,1.0,5,1,42.46,64.43,69.87,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
3089,5,1,5,5,59964.89,1,0.2,1.0,5,1,42.37,75.66,69.86,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1060,5,1,5,5,80599.72,2,0.4,1.0,5,1,42.13,58.23,69.81,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
1437,5,1,5,5,77246.08,2,0.4,1.0,5,1,41.35,60.54,69.65,HIGH,SHARED_MERCHANT|DENSE_USER_MERCHANT_NETWORK|HIGH_CHARGEBACK_CONCENTRATION|LARGE_CONNECTED_CLUSTER
