user_id,txn_count,total_transaction_value,avg_transaction_value,median_transaction_value,unique_merchants,unique_mcc,failed_txn_count,pending_txn_count,negative_amount_count,failed_txn_rate,pending_txn_rate,negative_amount_rate,chargeback_count,chargeback_amount,critical_chargeback_count,high_chargeback_count,chargeback_rate,kyc_status,risk_segment,pan_valid_flag,aadhaar_valid_flag,aadhaar_masked_flag,monthly_income,city,state,kyc_match_flag,kyc_verified_flag,kyc_high_risk_flag
USR10001,1,0.172078,0.172078,0.172078,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,MEDIUM,0.0,1.0,0.0,37535.0,Poona,Maharashtra,1,1,0
USR10006,1,8445.34,8445.34,8445.34,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
USR10007,2,12698.3407513,6349.17037565,6349.17037565,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,MEDIUM,0.0,1.0,0.0,20393.0,Bangalore,Karnataka,1,1,0
USR10011,1,8691.46,8691.46,8691.46,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
USR10012,1,11874.48,11874.48,11874.48,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
USR10017,1,0.1640216,0.1640216,0.1640216,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
USR10027,1,18054.43,18054.43,18054.43,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,LOW,0.0,1.0,0.0,18134.0,Dilli,Delhi,1,1,0
USR10032,1,24876.37,24876.37,24876.37,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
USR10035,1,0.1361091,0.1361091,0.1361091,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
USR10044,1,9096.65,9096.65,9096.65,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0,0,0
