user_id,txn_count,total_transaction_value,avg_transaction_value,median_transaction_value,unique_merchants,unique_mcc,failed_txn_count,pending_txn_count,negative_amount_count,failed_txn_rate,pending_txn_rate,negative_amount_rate,chargeback_count,chargeback_amount,critical_chargeback_count,high_chargeback_count,chargeback_rate,kyc_status,risk_segment,pan_valid_flag,aadhaar_valid_flag,aadhaar_masked_flag,monthly_income,city,state,kyc_match_flag,kyc_verified_flag,kyc_high_risk_flag,txn_count_percentile,transaction_value_percentile,merchant_diversity_percentile,high_failure_behavior_flag,high_pending_behavior_flag,negative_amount_behavior_flag,high_chargeback_behavior_flag,critical_chargeback_flag,kyc_risk_signal,identity_quality_risk,user_risk_score,risk_band,ml_anomaly_prediction,ml_decision_score,ml_anomaly_percentile,ml_anomaly_flag,ml_anomaly_band,network_merchant_count,network_transaction_count,network_total_amount,network_chargeback_count,avg_relationship_risk,max_relationship_risk,network_chargeback_rate,degree,component_id,network_activity_score,suspicious_component_flag,unified_user_risk_score,unified_user_risk_band,investigation_reasons
USR10001,1,0.172078,0.172078,0.172078,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,MEDIUM,0.0,1.0,0.0,37535.0,Poona,Maharashtra,1,1,0,0.4454357310661148,0.029925047544468,0.4454357310661148,1,0,0,0,0,0,0.5,28.57,MEDIUM,1,0.165227,14.83,0,LOW,1,1,0.172078,0,33.37,33.37,0.0,1,1,18.58,1,28.87,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
USR10006,1,8445.34,8445.34,8445.34,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.3723011522541671,0.4454357310661148,0,1,0,0,0,1,1.0,41.13,MEDIUM,1,0.251459,40.54,0,LOW,1,1,8445.34,0,23.59,23.59,0.0,1,2,32.49,1,41.34,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
USR10007,2,12698.3407513,6349.17037565,6349.17037565,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,MEDIUM,0.0,1.0,0.0,20393.0,Bangalore,Karnataka,1,1,0,0.94110079427229,0.5206398926054369,0.94110079427229,0,0,0,0,0,0,0.5,15.96,LOW,1,0.153963,11.31,0,LOW,2,2,12698.3407513,0,17.215,21.31,0.0,2,3,60.33,1,23.79,LOW,SUSPICIOUS_NETWORK_COMPONENT
USR10011,1,8691.46,8691.46,8691.46,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.3813066338516612,0.4454357310661148,0,0,0,0,0,1,1.0,31.2,MEDIUM,1,0.337337,94.22,0,MEDIUM,1,1,8691.46,0,20.67,20.67,0.0,1,4,32.84,1,46.36,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
USR10012,1,11874.48,11874.48,11874.48,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.4923928851101913,0.4454357310661148,0,0,0,0,0,1,1.0,32.03,MEDIUM,1,0.33874,98.11,0,HIGH,1,1,11874.48,0,23.02,23.02,0.0,1,5,37.56,1,48.3,MEDIUM,ML_ANOMALY|SUSPICIOUS_NETWORK_COMPONENT
USR10017,1,0.1640216,0.1640216,0.1640216,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.0270723794607897,0.4454357310661148,0,0,0,0,0,1,1.0,28.54,MEDIUM,1,0.290018,47.68,0,LOW,1,1,0.1640216,0,14.96,14.96,0.0,1,6,18.47,1,33.58,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
USR10027,1,18054.43,18054.43,18054.43,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,LOW,0.0,1.0,0.0,18134.0,Dilli,Delhi,1,1,0,0.4454357310661148,0.709139724801432,0.4454357310661148,0,0,0,0,0,0,0.5,13.66,LOW,1,0.169505,17.33,0,LOW,1,1,18054.43,0,26.98,26.98,0.0,1,7,47.11,0,18.39,LOW,NO_MAJOR_SIGNAL
USR10032,1,24876.37,24876.37,24876.37,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.9520080545922364,0.4454357310661148,1,0,0,0,0,1,1.0,55.48,HIGH,1,0.113208,5.64,0,LOW,1,1,24876.37,0,48.77,48.77,0.0,1,8,58.32,1,47.35,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
USR10035,1,0.1361091,0.1361091,0.1361091,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.0157176417943841,0.4454357310661148,0,0,0,0,0,1,1.0,28.46,MEDIUM,1,0.289819,47.52,0,LOW,1,1,0.1361091,0,13.66,13.66,0.0,1,9,18.04,0,28.33,MEDIUM,NO_MAJOR_SIGNAL
USR10044,1,9096.65,9096.65,9096.65,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.3957377782749748,0.4454357310661148,0,0,0,0,0,1,1.0,31.31,MEDIUM,1,0.337836,96.19,0,HIGH,1,1,9096.65,0,22.0,22.0,0.0,1,10,33.44,1,47.0,MEDIUM,ML_ANOMALY|SUSPICIOUS_NETWORK_COMPONENT
USR10046,1,1094.88,1094.88,1094.88,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.1268598277212216,0.4454357310661148,0,0,0,0,0,1,1.0,29.29,MEDIUM,1,0.320781,54.89,0,LOW,1,1,1094.88,0,15.63,15.63,0.0,1,11,22.42,0,30.89,MEDIUM,NO_MAJOR_SIGNAL
USR10055,1,13414.9,13414.9,13414.9,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.5444680613043965,0.4454357310661148,0,0,0,0,0,1,1.0,32.42,MEDIUM,1,0.337409,94.48,0,MEDIUM,1,1,13414.9,0,22.61,22.61,0.0,1,12,39.84,0,42.97,MEDIUM,NO_MAJOR_SIGNAL
USR10060,1,3756.23,3756.23,3756.23,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.216802774359548,0.4454357310661148,1,0,0,0,0,1,1.0,49.97,MEDIUM,1,0.206558,30.6,0,LOW,1,1,3756.23,0,37.99,37.99,0.0,1,13,26.02,0,40.0,MEDIUM,NO_MAJOR_SIGNAL
USR10061,1,5690.29,5690.29,5690.29,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.2805123615616959,0.4454357310661148,0,0,0,0,0,1,1.0,30.44,MEDIUM,1,0.334552,80.79,0,MEDIUM,1,1,5690.29,0,18.79,18.79,0.0,1,14,28.64,1,42.64,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
USR10064,1,6814.96,6814.96,6814.96,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,UNKNOWN,1.0,1.0,0.0,,ludhiana,Punjab,1,0,0,0.4454357310661148,0.3194428907036581,0.4454357310661148,0,0,0,0,0,1,0.0,20.74,LOW,1,0.202367,27.93,0,LOW,1,1,6814.96,0,18.68,18.68,0.0,1,15,30.27,1,26.89,MEDIUM,SUSPICIOUS_NETWORK_COMPONENT
USR10069,1,7005.63,7005.63,7005.63,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,MEDIUM,1.0,1.0,0.0,49895.0,Mumbai,Maharashtra,1,1,0,0.4454357310661148,0.3259313122273184,0.4454357310661148,0,0,0,0,0,0,0.0,5.79,LOW,1,0.20036,25.99,0,LOW,1,1,7005.63,0,17.54,17.54,0.0,1,16,30.54,1,18.19,LOW,SUSPICIOUS_NETWORK_COMPONENT
USR10071,1,14301.02,14301.02,14301.02,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.5752880635417832,0.4454357310661148,0,1,0,0,0,1,1.0,42.66,MEDIUM,1,0.239372,39.8,0,LOW,1,1,14301.02,1,56.17,56.17,1.0,1,17,41.21,1,46.16,MEDIUM,HIGH_NETWORK_CHARGEBACK_RATE|SUSPICIOUS_NETWORK_COMPONENT
USR10074,2,33670.72,16835.36,16835.36,2,2,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.94110079427229,0.980422866092404,0.94110079427229,1,0,0,0,0,1,1.0,49.41,MEDIUM,1,0.215837,36.61,0,LOW,2,2,33670.72,0,35.815,39.09,0.0,2,18,83.17,1,51.4,HIGH,SUSPICIOUS_NETWORK_COMPONENT
