user_id,txn_count,total_transaction_value,avg_transaction_value,median_transaction_value,unique_merchants,unique_mcc,failed_txn_count,pending_txn_count,negative_amount_count,failed_txn_rate,pending_txn_rate,negative_amount_rate,chargeback_count,chargeback_amount,critical_chargeback_count,high_chargeback_count,chargeback_rate,kyc_status,risk_segment,pan_valid_flag,aadhaar_valid_flag,aadhaar_masked_flag,monthly_income,city,state,kyc_match_flag,kyc_verified_flag,kyc_high_risk_flag,txn_count_percentile,transaction_value_percentile,merchant_diversity_percentile,high_failure_behavior_flag,high_pending_behavior_flag,negative_amount_behavior_flag,high_chargeback_behavior_flag,critical_chargeback_flag,kyc_risk_signal,identity_quality_risk,user_risk_score,risk_band
USR10001,1,0.172078,0.172078,0.172078,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,MEDIUM,0.0,1.0,0.0,37535.0,Poona,Maharashtra,1,1,0,0.4454357310661148,0.02992504754446806,0.4454357310661148,1,0,0,0,0,0,0.5,28.57,MEDIUM
USR10006,1,8445.34,8445.34,8445.34,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.37230115225416716,0.4454357310661148,0,1,0,0,0,1,1.0,41.13,MEDIUM
USR10007,2,12698.3407513,6349.17037565,6349.17037565,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,MEDIUM,0.0,1.0,0.0,20393.0,Bangalore,Karnataka,1,1,0,0.94110079427229,0.5206398926054369,0.94110079427229,0,0,0,0,0,0,0.5,15.96,LOW
USR10011,1,8691.46,8691.46,8691.46,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.38130663385166125,0.4454357310661148,0,0,0,0,0,1,1.0,31.2,MEDIUM
USR10012,1,11874.48,11874.48,11874.48,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.4923928851101913,0.4454357310661148,0,0,0,0,0,1,1.0,32.03,MEDIUM
USR10017,1,0.1640216,0.1640216,0.1640216,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.027072379460789796,0.4454357310661148,0,0,0,0,0,1,1.0,28.54,MEDIUM
USR10027,1,18054.43,18054.43,18054.43,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,LOW,0.0,1.0,0.0,18134.0,Dilli,Delhi,1,1,0,0.4454357310661148,0.709139724801432,0.4454357310661148,0,0,0,0,0,0,0.5,13.66,LOW
USR10032,1,24876.37,24876.37,24876.37,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.9520080545922363,0.4454357310661148,1,0,0,0,0,1,1.0,55.48,HIGH
USR10035,1,0.1361091,0.1361091,0.1361091,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.01571764179438416,0.4454357310661148,0,0,0,0,0,1,1.0,28.46,MEDIUM
USR10044,1,9096.65,9096.65,9096.65,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.3957377782749748,0.4454357310661148,0,0,0,0,0,1,1.0,31.31,MEDIUM
USR10046,1,1094.88,1094.88,1094.88,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.12685982772122162,0.4454357310661148,0,0,0,0,0,1,1.0,29.29,MEDIUM
USR10055,1,13414.9,13414.9,13414.9,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.5444680613043965,0.4454357310661148,0,0,0,0,0,1,1.0,32.42,MEDIUM
USR10060,1,3756.23,3756.23,3756.23,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.21680277435954806,0.4454357310661148,1,0,0,0,0,1,1.0,49.97,MEDIUM
USR10061,1,5690.29,5690.29,5690.29,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.28051236156169596,0.4454357310661148,0,0,0,0,0,1,1.0,30.44,MEDIUM
USR10064,1,6814.96,6814.96,6814.96,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PENDING,UNKNOWN,1.0,1.0,0.0,,ludhiana,Punjab,1,0,0,0.4454357310661148,0.3194428907036581,0.4454357310661148,0,0,0,0,0,1,0.0,20.74,LOW
USR10069,1,7005.63,7005.63,7005.63,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,MEDIUM,1.0,1.0,0.0,49895.0,Mumbai,Maharashtra,1,1,0,0.4454357310661148,0.32593131222731847,0.4454357310661148,0,0,0,0,0,0,0.0,5.79,LOW
USR10071,1,14301.02,14301.02,14301.02,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.5752880635417832,0.4454357310661148,0,1,0,0,0,1,1.0,42.66,MEDIUM
USR10074,2,33670.72,16835.36,16835.36,2,2,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.94110079427229,0.980422866092404,0.94110079427229,1,0,0,0,0,1,1.0,49.41,MEDIUM
USR10075,1,6711.68,6711.68,6711.68,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.31513592124398704,0.4454357310661148,0,0,0,0,0,1,1.0,30.7,MEDIUM
USR10078,1,13714.99,13714.99,13714.99,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,HIGH,1.0,1.0,0.0,,Bangalore,Karnataka,1,1,1,0.4454357310661148,0.5555990602975724,0.4454357310661148,0,0,0,0,0,1,0.0,22.51,LOW
USR10082,1,22723.1,22723.1,22723.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.8748741469963083,0.4454357310661148,0,0,0,0,0,1,1.0,34.9,MEDIUM
USR10085,2,16240.68,8120.34,8120.34,2,1,0,1,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,MEDIUM,1.0,1.0,0.0,,Hyd,Telangana,1,1,0,0.94110079427229,0.6420181228325316,0.94110079427229,0,1,0,0,0,0,0.0,16.87,LOW
USR10086,1,12874.26,12874.26,12874.26,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REJECTED,LOW,1.0,1.0,0.0,29650.0,Bangalore,Karnataka,1,0,0,0.4454357310661148,0.5271842487974047,0.4454357310661148,0,0,0,0,0,1,0.0,22.29,LOW
USR10088,1,3809.97,3809.97,3809.97,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,LOW,1.0,1.0,0.0,26367.0,LDH,Punjab,1,1,0,0.4454357310661148,0.2185926837453854,0.4454357310661148,0,0,0,0,0,0,0.0,4.98,LOW
USR10094,1,8987.24,8987.24,8987.24,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.3916545474885334,0.4454357310661148,0,0,0,0,0,1,1.0,31.28,MEDIUM
USR10100,1,20357.0,20357.0,20357.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.7900212551739568,0.4454357310661148,0,0,0,0,0,1,1.0,34.27,MEDIUM
USR10104,1,18458.04,18458.04,18458.04,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.7234030652198232,0.4454357310661148,0,0,0,0,0,1,1.0,33.77,MEDIUM
USR10107,1,22698.19,22698.19,22698.19,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.8735317149569303,0.4454357310661148,1,0,0,0,0,1,1.0,54.89,HIGH
USR10110,1,13924.46,13924.46,13924.46,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.5624230898310772,0.4454357310661148,0,0,0,0,0,1,1.0,32.56,MEDIUM
USR10111,1,18111.68,18111.68,18111.68,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.7114889808703434,0.4454357310661148,0,0,0,0,0,1,1.0,33.68,MEDIUM
USR10119,1,0.58609,0.58609,0.58609,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.07377782749748293,0.4454357310661148,0,0,0,0,0,1,1.0,28.89,MEDIUM
USR10125,1,10766.24,10766.24,10766.24,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.4527911399485401,0.4454357310661148,0,0,0,0,0,1,1.0,31.74,MEDIUM
USR10128,2,3275.9500000000007,1637.9750000000004,1637.9750000000004,2,1,1,0,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.94110079427229,0.20119700190177872,0.94110079427229,1,0,1,0,0,1,1.0,48.57,MEDIUM
USR10134,1,1750.45,1750.45,1750.45,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.1482828056829623,0.4454357310661148,0,0,0,0,0,1,1.0,29.45,MEDIUM
USR10142,1,23295.4,23295.4,23295.4,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0,0,0,0.4454357310661148,0.8936681955476004,0.4454357310661148,0,0,0,0,0,1,1.0,35.04,MEDIUM
USR10143,2,14790.13,7395.065,7395.065,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VERIFIED,LOW,1.0,1.0,0.0,20853.0,Mumbai,Maharashtra,1,1,0,0.94110079427229,0.5920684640340083,0.94110079427229,0,0,0,0,0,0,0.0,11.5,LOW
